"Issue Type","Epic","Summary","Priority","Story Points","Description"
"Epic","","WL-E01 Product Scope & Sprint Definition","P0","","Chốt sprint chỉ tập trung vào core feature: chụp và phân tích vật."
"Story","WL-E01 Product Scope & Sprint Definition","WL-001 Chốt product scope: một core feature duy nhất","P0","2","Thống nhất in-scope/out-of-scope, core promise, secondary/backlog surfaces và PM sign-off."
"Story","WL-E01 Product Scope & Sprint Definition","WL-002 Định nghĩa success metrics cho beta","P0","2","Chốt time-to-wow, activation, completion, retry rate, crash-free session, AI safety pass rate và cách đo privacy-safe cho Google Play beta."
"Epic","","WL-E02 UI/UX & Visual Identity Rework","P0","","Làm lại visual identity và UX toàn app để phục vụ core scan/analyze loop."
"Story","WL-E02 UI/UX & Visual Identity Rework","WL-003 Làm lại visual identity: logo, màu, typography, mascot direction","P0","5","Thiết kế logo/app icon direction, palette, typography scale, mascot rules và map vào theme tokens."
"Story","WL-E02 UI/UX & Visual Identity Rework","WL-004 Thiết kế lại IA/navigation để ưu tiên nút chụp","P0","3","Primary action Chụp vật rõ nhất, giảm nhiễu tab/game, có đường quay lại camera từ result."
"Story","WL-E02 UI/UX & Visual Identity Rework","WL-005 Redesign Camera Screen","P0","5","Camera screen có guide overlay, capture button lớn, copy ngắn, haptic và không che preview."
"Story","WL-E02 UI/UX & Visual Identity Rework","WL-006 Redesign Analysis Result Screen","P0","8","Result screen có tên vật, nhãn Verified/AI, timeline dễ scan, audio controls, CTA chụp tiếp và fallback thiếu media."
"Story","WL-E02 UI/UX & Visual Identity Rework","WL-007 Loading, empty, error states thật tỉ mỉ","P0","5","Processing, offline, timeout, low confidence, permission denied, API errors đều có state thân thiện và retry."
"Epic","","WL-E03 Core Scan & Analyze Flow","P0","","Hoàn thiện từng bước của flow chụp và phân tích vật."
"Story","WL-E03 Core Scan & Analyze Flow","WL-008 Hoàn thiện onboarding + permission flow","P0","3","First-run onboarding ngắn, camera permission có context, denied permission có hướng dẫn Settings."
"Story","WL-E03 Core Scan & Analyze Flow","WL-009 Capture quality và pre-analysis checks","P0","3","Hint đủ sáng/đưa vật vào giữa, preview/transition sau chụp, validate ảnh gửi proxy."
"Story","WL-E03 Core Scan & Analyze Flow","WL-010 Recognition decision logic: hero, unknown, low confidence","P0","5","Route đúng hero/unknown/low confidence/timeout/offline và không gọi OpenAI trực tiếp từ app."
"Story","WL-E03 Core Scan & Analyze Flow","WL-011 Hero object analysis thật polished","P0","5","Hero result load nhanh, nhãn đã kiểm chứng, timeline đúng schema, narration/fallback, CTA chụp tiếp."
"Story","WL-E03 Core Scan & Analyze Flow","WL-012 Unknown object / AI analysis với nhãn an toàn","P0","8","Vật lạ có nhãn Khám phá vui AI, timeout/retry, safety fallback và không vào material graph verified."
"Story","WL-E03 Core Scan & Analyze Flow","WL-013 Narration và audio controls","P0","3","Auto-read có bật/tắt, dừng khi rời screen, không chồng audio, fallback khi TTS lỗi."
"Epic","","WL-E04 Content, Safety & Evaluation","P0","","Đảm bảo nội dung kid-safe và có đánh giá chất lượng trước Android beta."
"Story","WL-E04 Content, Safety & Evaluation","WL-014 Content rubric cho trẻ 6-10","P0","3","Rubric đúng khoa học, an toàn, không phản khoa học, độ dài stage/fun fact và checklist reviewer."
"Story","WL-E04 Content, Safety & Evaluation","WL-015 Red-team AI live output","P0","5","Test ít nhất 20 vật/case, đánh giá theo rubric, tạo bug cho case fail và PM sign-off trước Google Play closed beta."
"Story","WL-E04 Content, Safety & Evaluation","WL-016 Recognition eval set","P0","5","Tạo 50-100 ảnh test, expected labels, chạy recognition, tính accuracy và top failure modes."
"Epic","","WL-E05 Technical Hardening & Cost Control","P0","","Làm app ổn định, an toàn và kiểm soát chi phí API/video."
"Story","WL-E05 Technical Hardening & Cost Control","WL-017 Đồng bộ API contracts với implementation","P0","3","Audit app/proxy endpoints, cập nhật specs/api-contracts và loại mập mờ endpoint planned vs implemented."
"Story","WL-E05 Technical Hardening & Cost Control","WL-018 Proxy validation, rate limit và spend guardrail","P0","5","Validate payload, timeout, rate limit, OpenAI spend limit, video runtime off/quota-protected."
"Story","WL-E05 Technical Hardening & Cost Control","WL-019 Offline/resilience QA","P0","3","Airplane mode, unknown offline, proxy timeout, background/resume camera/audio đều pass checklist trên Android."
"Story","WL-E05 Technical Hardening & Cost Control","WL-020 Privacy-safe measurement plan","P0","3","Không third-party tracking/ads SDK không cần thiết; define minimal events/manual Google Play internal/closed test feedback; chuẩn bị Data Safety."
"Epic","","WL-E06 Android / Google Play Release","P0","","Chuẩn bị Android build, Play Console, Data Safety, testing track và submission."
"Story","WL-E06 Android / Google Play Release","WL-021 Google Play Console setup","P0","3","Google Play Developer active, Play Console app record, package name/applicationId, app signing và quyền upload AAB."
"Story","WL-E06 Android / Google Play Release","WL-022 Privacy policy, Data Safety, content rating, Families decision","P0","5","Privacy policy URL, Google Play Data Safety, content rating, target audience/Families decision và PM/privacy sign-off."
"Story","WL-E06 Android / Google Play Release","WL-023 Google Play store listing và screenshots","P0","5","App name, short/full description, screenshots, app icon, feature graphic và PM review."
"Story","WL-E06 Android / Google Play Release","WL-024 Android release build và Google Play internal testing upload","P0","5","flutter test/analyze pass, Android release build pass, AAB target API compliant, upload Internal testing, testers install."
"Story","WL-E06 Android / Google Play Release","WL-025 Closed testing / production readiness checklist","P0","3","Beta notes, internal/closed tester group, Play app content declarations, 12 testers/14 days nếu personal account mới, safety/cost gates và rollback owner."
"Epic","","WL-E07 Product Docs & Flow Handoff","P1","","Tài liệu hóa flow, tổng quan sản phẩm và mô tả kỹ thuật cho team/Jira."
"Story","WL-E07 Product Docs & Flow Handoff","WL-026 Vẽ JTBD flow, user flow và Google Play release flow","P1","2","JTBD flow, user flow, Google Play release flow bằng Mermaid và PM review."
"Story","WL-E07 Product Docs & Flow Handoff","WL-027 Product overview + technical overview handoff","P1","2","Product overview, technical overview, constraints và links tới specs/ADRs."
"Epic","","WL-E08 Viral, Social, Build in Public & Product Hunt","P1","","Chuẩn bị kênh tăng trưởng và launch narrative sau Android beta, ưu tiên Story Share Card cho Facebook/Instagram/Threads."
"Story","WL-E08 Viral, Social, Build in Public & Product Hunt","WL-028 Viral loop strategy cho WonderLens","P1","3","Ưu tiên viral loop Story Share Card: ảnh có câu chuyện khoa học trực tiếp trên ảnh, share bởi phụ huynh/team lên Facebook, Instagram, Threads; define CTA và metrics."
"Story","WL-E08 Viral, Social, Build in Public & Product Hunt","WL-029 Story Share Card cho Facebook / Instagram / Threads","P1","5","Tạo format ảnh 1080x1080 và 1080x1350 có tên vật, ảnh vật, 3-4 chặng hành trình, fun fact, Verified/AI label, logo, CTA, caption templates và 3 mẫu đầu."
"Story","WL-E08 Viral, Social, Build in Public & Product Hunt","WL-030 Social media content calendar 30 ngày","P1","5","Lập calendar 30 ngày cho Facebook, Instagram, Threads; 3 share-card posts/tuần, 2 build posts/tuần, 1 short video/tuần nếu có asset."
"Story","WL-E08 Viral, Social, Build in Public & Product Hunt","WL-031 Build in public narrative","P1","3","Chốt narrative, update template, milestone list, privacy rules và 5 draft build-in-public posts."
"Story","WL-E08 Viral, Social, Build in Public & Product Hunt","WL-032 Landing/waitlist cho Android beta","P1","5","Tạo landing/form waitlist có value prop, demo asset, email/role/device fields, privacy note và owner sheet/CRM."
"Story","WL-E08 Viral, Social, Build in Public & Product Hunt","WL-033 Press kit / launch kit cơ bản","P1","5","Chuẩn bị one-liner, descriptions VI/EN, logo/icon, screenshots, demo video/GIF, FAQ kids/privacy/AI safety."
"Story","WL-E08 Viral, Social, Build in Public & Product Hunt","WL-034 Product Hunt launch preparation","P2","5","Chuẩn bị Product Hunt draft, gallery, maker comment, launch checklist, FAQ, metrics; chỉ launch sau Android beta/core QA pass."
